IITA_Cassava_Kephis_ICK,MeristemID1,MeristemID2,MeristemID3,MeristemID4,MeristemID5,MeristemID6,MeristemID7,MeristemID8,MeristemID9,MeristemID10,MeristemID11,MeristemID12,MeristemID13,NumberMeristems
ICK258,ICK258_M1,ICK258_M2,ICK258_M3,ICK258_M4,ICK258_M5,,,,,,,,,5
ICK260,ICK260_M1,ICK260_M2,ICK260_M3,ICK260_M7,,,,,,,,,,4
ICK261,ICK261_M1,ICK261_M2,ICK261_M3,ICK261_M4,ICK261_M5,ICK261_M6,ICK261_M7,ICK261_M8,,,,,,8
ICK262,ICK262_M1,,,,,,,,,,,,,1
ICK263,ICK263_M1,ICK263_M10,ICK263_M2,ICK263_M3,ICK263_M4,ICK263_M5,ICK263_M6,ICK263_M7,ICK263_M8,ICK263_M9,,,,10
ICK264,ICK264_M1,ICK264_M2,ICK264_M3,ICK264_M4,ICK264_Tip,,,,,,,,,5
ICK265,ICK265_M1,ICK265_M19,ICK265_M2,ICK265_M3,ICK265_M4,ICK265_M5,ICK265_Tip,,,,,,,7
ICK266,ICK266_M1,ICK266_M2,,,,,,,,,,,,2
ICK267,ICK267_M1,ICK267_M2,ICK267_M3,ICK267_M4,,,,,,,,,,4
ICK270,ICK270_M1,ICK270_Tip,,,,,,,,,,,,2
ICK272,ICK272_Unknown,,,,,,,,,,,,,1
ICK273,ICK273_M1,ICK273_M2,ICK273_M3,ICK273_M4,ICK273_M5,ICK273_M6,ICK273_M7,ICK273_M8,ICK273_M9,,,,,9
ICK274,ICK274_M1,ICK274_M10,ICK274_M11,ICK274_M12,ICK274_M13,ICK274_M2,ICK274_M3,ICK274_M4,ICK274_M5,ICK274_M6,ICK274_M7,ICK274_M8,ICK274_M9,13
ICK280,ICK280_Tip,,,,,,,,,,,,,1
ICK281,ICK281_M1,ICK281_M2,ICK281_M3,ICK281_M4,ICK281_M5,ICK281_M6,ICK281_M7,,,,,,,7
ICK283,ICK283_M1,ICK283_M2,ICK283_M3,ICK283_M4,ICK283_M5,ICK283_M6,ICK283_M7,,,,,,,7
ICK284,ICK284_M1,ICK284_M2,ICK284_M3,ICK284_M4,ICK284_M5,,,,,,,,,5
ICK285,ICK285_M1,ICK285_M2,ICK285_M3,ICK285_M4,ICK285_M5,,,,,,,,,5
ICK286,ICK286_Tip,,,,,,,,,,,,,1
ICK288,ICK288_M1,ICK288_M2,ICK288_M3,ICK288_M4,ICK288_M5,,,,,,,,,5
ICK289,ICK289_M1,ICK289_M13,ICK289_M2,ICK289_M3,ICK289_M4,ICK289_M5,ICK289_M6,ICK289_M7,ICK289_M8,ICK289_Tip,,,,10
ICK290,ICK290_M1,ICK290_M2,ICK290_M3,,,,,,,,,,,3
ICK293,ICK293_M1,ICK293_M2,ICK293_M3,ICK293_Tip,,,,,,,,,,4
ICK294,ICK294_M1,ICK294_M2,ICK294_M3,ICK294_M4,ICK294_M5,ICK294_M6,,,,,,,,6
ICK295,ICK295_M1,,,,,,,,,,,,,1
ICK298,ICK298_M1,ICK298_M2,ICK298_M3,ICK298_M4,ICK298_M5,ICK298_M6,,,,,,,,6
ICK300,ICK300_M1,ICK300_M2,ICK300_M3,ICK300_M4,ICK300_M5,,,,,,,,,5
ICK301,ICK301_M1,,,,,,,,,,,,,1
ICK304,ICK304_M1,ICK304_M2,ICK304_M3,ICK304_M4,ICK304_M5,,,,,,,,,5
ICK305,ICK305_Tip,,,,,,,,,,,,,1
ICK307,ICK307_M1,,,,,,,,,,,,,1
ICK308,ICK308_M1,ICK308_M2,ICK308_M3,ICK308_M4,ICK308_Tip,,,,,,,,,5
ICK309,ICK309_M1,ICK309_M2,ICK309_M3,ICK309_M4,ICK309_Tip,,,,,,,,,5
ICK310,ICK310_M1,ICK310_Tip,,,,,,,,,,,,2
ICK312,ICK312_M1,,,,,,,,,,,,,1
ICK313,ICK313_M1,ICK313_M2,,,,,,,,,,,,2
ICK314,ICK314_M1,ICK314_M2,ICK314_M3,ICK314_M4,,,,,,,,,,4
ICK315,ICK315_M1,ICK315_M2,ICK315_M3,ICK315_M4,ICK315_M5,ICK315_M6,,,,,,,,6
ICK316,ICK316_Tip,,,,,,,,,,,,,1
ICK321,ICK321_M1,ICK321_M2,ICK321_M3,ICK321_M4,ICK321_M5,,,,,,,,,5
ICK324,ICK324_M1,ICK324_M2,ICK324_M3,ICK324_M4,ICK324_M5,,,,,,,,,5
ICK327,ICK327_M1,ICK327_M10,ICK327_M2,ICK327_M3,ICK327_M4,ICK327_M5,ICK327_M6,ICK327_M7,ICK327_M8,ICK327_M9,,,,10
ICK328,ICK328_M1,ICK328_M2,ICK328_M3,,,,,,,,,,,3
ICK329,ICK329_M1,ICK329_M2,ICK329_M3,ICK329_M4,ICK329_M5,ICK329_M6,ICK329_M7,ICK329_M8,,,,,,8
ICK330,ICK330_M1,,,,,,,,,,,,,1
ICK332,ICK332_M1,,,,,,,,,,,,,1
ICK333,ICK333_Tip,,,,,,,,,,,,,1
ICK334,ICK334_Tip,,,,,,,,,,,,,1
